GeneName,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APOC3_GWV,1.520923689,0.671220277,0.22048534,0.615843569,1.741575461,0.600146191,0.530698829,3.073873138,2.591681499,12.54047993,1.170356096,3.067518335,1.89928667,0.654727061,0.958520893,1.289515937,0.663094427,0.189427779,0.704165988,0.610494062,1.908226705,1.407422122,0.336489973,0.213352465,4.25178655,0.714464326,0.767448323,0.327797428,1.228032701,0.547761697,0.112593209,0.627343056,0.773651716,0.638189074,0.417305683,2.100040985,1.191220178,2.826502977,6.782321504,4.234398469,0.965329576,1.024824444,0.49709734,26.17402858,27.0478262,0.291882843,0.358347127,1.507335964,3.620574805,1.666053976,5.234419515,1.240122042,1.09813805,1.310028543,3.982349307,1.69210762,1.285093852,0.831809954,1.747318595,3.397809459
AZGP1_YSL,2.774417221,4.149293256,3.540093029,4.887129509,5.287302188,3.001194605,3.351485304,7.764518421,0.860482062,6.241465199,8.8817609,2.219048775,3.813720481,3.435391702,3.68668405,5.666135693,3.057150315,1.755750124,2.234505659,3.315377734,6.347727136,4.682323153,3.604299076,2.899048087,2.446517588,0.732937492,1.071982224,1.667716713,2.36616207,1.588510736,1.197546777,2.376854694,1.680896848,0.876856407,2.492327057,3.946879976,5.085507053,3.028368637,1.433039432,3.579114226,3.930300597,5.215285429,1.119767241,6.801766378,4.955002047,3.665796905,0.74645047,0.683584365,1.102854821,0.48593582,0.408307263,0.258974968,0.954374433,1.185786676,1.670878009,1.256553941,0.993420744,2.690915025,1.642408494,1.814286647
KRT5_YEE,0.000271988,0.004795709,0.002541021,0.003487513,0.00316633,0.000492143,0.000635529,0,0.001430981,0.000817248,0.005112809,0.002262039,0.028682168,0.014494592,0.001283434,0.000880251,0.024982506,0.006530003,0.007265303,0.032798312,0.019224644,0.026905749,0.002404567,0.001408394,0.00228933,0.036954167,NA,0.006698994,0.003034737,0.00100752,0.000204301,0.026373977,0.00763799,0.003986362,0.012310612,0,0.000678655,0.001439911,NA,0.010076363,0.003466295,0.006655359,NA,0.015028065,0.029005248,0.053969735,0.008143053,0.005901054,0.002495447,0.005917936,0.113097047,0.017363541,0.05804749,0.012160684,0.00647144,NA,0.01874165,0.024536605,0.018655165,0.003170112
CHGA,0.025829892,0.005290649,0.028614411,0.012666862,0.030490194,0.006618259,0.036875007,0.020397789,,0.005659303,0.014230461,0.004720256,0.011766622,0.004362912,0.00420859,0.010675594,0.007417108,0.004823599,0.007800165,0.008237328,0.008810462,0.008705514,0.005395303,0.006491651,0.006641838,0.022618765,0.030286293,0.006841966,0.033094664,0.008846969,0.016290878,0.009797642,0.011529993,0.011638237,0.021053065,0.00684649,0.165282237,0.026494028,,0.016542709,0.040373433,0.035683893,,0.041251324,0.006045655,0.028414317,0.025604207,0.016353376,0.03772635,0.027602695,0.027728209,0.004454328,0.005437823,0.042033934,0.011776,0.010491807,0.023972845,0.013981141,0.039171456,0.021276698
CD56,0.193004353,0.094314431,0.283986134,0.096855194,0.165030279,0.102154196,0.153617265,0.106622496,,0.227306575,0.18240349,0.080870953,0.125469634,0.055034332,0.101486587,0.100022038,0.058936422,0.049596717,0.05859233,0.079027969,0.064401969,0.073279389,0.078004952,0.049148515,0.050958816,0.326225096,0.347432776,0.054205019,0.172969625,0.081710498,0.220453624,0.077292667,0.060003043,0.347972815,0.036750507,0.062846987,0.216530309,0.242199851,,0.154547119,0.337466897,0.228642374,,0.081723689,0.239900487,0.389537467,0.261847066,0.124990218,0.006793636,0.167632592,0.15197048,0.075154674,0.096698124,0.104194182,0.097188003,0.196015171,0.13951437,0.260719217,0.225990201,0.154893339
Renin,0.1,0.05,0.1,0.1,0.71,0.35,0.12,0.1,,0.49,0.36,0.29,0.91,0.1,1.69,0.92,3,0.16,0.61,0.41,0.1,0.1,0.1,0.14,0.57,0.1,0.35,0.07,0.8,0.41,0.1,0.34,0.1,0.59,0.1,0.1,0.1,0.24,,0.7,0.78,0.1,,0.05,0.74,0.1,,0.28,0.04,0.27,0.31,0.4,0.27,0.28,0.05,0.05,0.4,0.93,0.24,0.18
aldosterone,41.57,37.63,46.89,29.32,21.42,44.53,45.74,45.32,,34.96,46.66,36.46,27.01,19.77,36.23,21.57,80.41,15.77,22.61,37.96,20.64,38.56,38.45,36.34,18.56,81.28,29.71,37.28,70.79,28.86,28.06,37.82,24.75,39.25,39.7,27.76,52.06,26.08,,15.77,19.93,23.42,,30.88,25.48,24.44,,15.23,28.85,17.09,36.26,14.76,22.69,23.82,21.56,20.24,20.57,13.39,15.97,28.62
